fu3Column	fu2Column	Instrument	fu3Core
id	User.code	ALL	ALL
ipaddr	DELETE	ALL	ALL
datestamp	Completed.Timestamp	ALL	ALL
submitdate	Completed	ALL	ALL
startlanguage	Language	ALL	ALL
IdCheckGender	id_check_gender	ALL	ALL
IdCheckDob	id_check_dob	ALL	ALL
TS1	ts_1	ALL	ALL
ScidGlueA25	SCID_A2_5_glue	IMGN_ESPAD	1
ScidGlueA31	SCID_A3_1_glue	IMGN_ESPAD	1
ScidGlueA32	SCID_A3_2_glue	IMGN_ESPAD	1
ScidGlueA33	SCID_A3_3_glue	IMGN_ESPAD	1
ScidGlueA34	SCID_A3_4_glue	IMGN_ESPAD	1
ScidGlueA35	SCID_A3_5_glue	IMGN_ESPAD	1
ScidGlueA4ABCD1	SCID_A4ABCD_1_glue	IMGN_ESPAD	1
ScidGlueA4ABCD2	SCID_A4ABCD_2_glue	IMGN_ESPAD	1
ScidGlueA4ABCD3	SCID_A4ABCD_3_glue	IMGN_ESPAD	1
ScidGlueA4ABCD4	SCID_A4ABCD_4_glue	IMGN_ESPAD	1
ScidGlueA4ABCD5	SCID_A4ABCD_5_glue	IMGN_ESPAD	1
ScidGlueD1AB1	SCID_D1AB_1_glue	IMGN_ESPAD	1
ScidGlueD1AB2	SCID_D1AB_2_glue	IMGN_ESPAD	1
